Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year
1966,13,102,Nick Aloi,,,,,Bowling Green,Sr,,0,,,
1966,14,104,Ollie Carter,,,,,San Francisco,Sr,,0,,,
1966,15,106,Paul Long,SG,6-2,180.0,22.0,Wake Forest,Jr,,5,77406.0,USA,1970
1966,16,108,Eddie Jackson,F,6-7,,,Bradley,Sr,,0,,,
1965,1,6,Jim Washington,PF,6-6,210.0,21.0,Villanova,Sr,,11,78466.0,USA,1975
1965,3,23,Ken McIntyre,G,6-1,,,St. John's,Sr,,0,,,
1965,4,32,Lynn Nance,F,6-6,,22.0,Washington,Sr,,0,,,
1965,5,41,Theodore Werner,,,,,Washington State,Sr,,0,,,
1965,6,50,John Rambo,,,,21.0,Long Beach State,Sr,,0,,,
1965,7,58,Terry Kunze,,,,22.0,Minnesota,Sr,,0,,,
1965,8,66,Cincy Powell,F,6-7,,23.0,Portland,Sr,,0,,,
1965,9,72,Leroy Walker,,,,,Utah State,Sr,,0,,,
1965,10,78,Spencer Carlson,,,,,Baylor,Sr,,0,,,
1965,11,84,Weldon Kytle,,,,,Cleveland State,Sr,,0,,,
1965,12,90,Elton McGriff,FC,6-9,225.0,22.0,Creighton,Sr,,0,,,
1965,13,95,Mel Northway,,,,,Minnesota,Sr,,0,,,
1965,14,99,Terry Page,,,,,Detroit-Mercy,Sr,,0,,,
1965,15,103,George Pomey,GF,6-4,,,Michigan,Sr,,0,,,
1965,16,107,Bob Tolan,,,,,Eastern Kentucky,Sr,,0,,,
1964,1,5,Jeff Mullins,GF,6-4,190.0,22.0,Duke,Sr,,12,77662.0,USA,1975
1964,2,10,Paul Silas,PF,6-7,225.0,20.0,Creighton,Sr,,17,78151.0,USA,1979
1964,3,22,Art Becker,F,6-8,205.0,22.0,Arizona State,Sr,,0,,,
1964,4,31,Willie Murrell,F,6-5,225.0,22.0,Kansas State,Sr,,0,,,
1964,5,40,John Tresvant,PF,6-7,215.0,24.0,Seattle,Sr,,9,78651.0,USA,1972
1964,6,49,Ernest Brock,,,,,Virginia State,Sr,,0,,,
1964,7,58,Maurice McHartley,,,,21.0,North Carolina A&T,Sr,,0,,,
1964,8,67,Kendall Rhine,C,6-10,230.0,21.0,Rice,Sr,,0,,,
1964,9,74,Darel Carrier,G,6-3,185.0,23.0,Western Kentucky,Sr,,0,,,
1964,10,81,Frank Stephens,F,6-10,,,Virginia State,Sr,,0,,,
1964,11,88,Gerald Govan,FC,6-10,220.0,22.0,St. Mary of the Plains College,Sr,,0,,,
1964,12,92,Warren Sutton,,,,,Williams College,Sr,,0,,,
1964,13,95,Cecil Tuttle,,,,,Georgetown College (KY),Sr,,0,,,
1964,14,97,Bill Blair,,,,22.0,Virginia Military,Sr,,0,,,
1964,15,99,Al Cech,,,,,Detroit-Mercy,Sr,,0,,,
1963,1,5,Gerry Ward,G,6-4,195.0,21.0,Boston College,Sr,,4,78455.0,USA,1966
1963,2,14,Leland Mitchell,GF,6-4,210.0,22.0,Mississippi State,Sr,,0,,,
1963,2,17,Ken Saylors,F,6-5,,,Arkansas Tech,Sr,,0,,,
1963,3,23,Bill Burwell,F,6-8,235.0,,Illinois,Sr,,0,,,
1963,4,32,Waite Bellamy,G,6-4,195.0,,Florida A&M,Sr,,0,,,
1963,5,41,Tony Yates,PG,,,25.0,Cincinnati,Sr,,0,,,
1963,6,50,Al Santio,,,,,Maryland-Eastern Shore,Sr,,0,,,
1963,7,59,Ken Rohloff,G,6-0,195.0,24.0,NC State,Sr,,1,78011.0,USA,1963
1963,8,67,Harold Strothers,,,,,Texas A&M,Sr,,0,,,
1963,9,72,Frank Davis,,,,,Oklahoma Christian,Sr,,0,,,
1963,10,75,Carl Ritter,,,,,Southeast Missouri State,Sr,,0,,,
1963,11,77,Marv Straw,,,,,Iowa State,Sr,,0,,,
1963,12,79,Hugh Evans,,,,,North Carolina A&T,Sr,,0,,,
1963,13,81,Gary McFarland,,,,,Central Missouri,Sr,,0,,,
1962,1,3,Zelmo Beaty,FC,6-9,225.0,22.0,Prairie View A&M,Sr,,8,76133.0,USA,1974
1962,2,10,Bob Duffy,G,6-3,165.0,21.0,Colgate,Sr,,3,76609.0,USA,1946
1962,2,10,Bob Duffy,G,6-3,165.0,21.0,Colgate,Sr,,3,76610.0,USA,1964
1962,3,19,Charlie Hardnett,F,6-8,225.0,23.0,Grambling State,Sr,,3,76946.0,USA,1964
1962,4,26,Chico Vaughn,G,6-2,190.0,22.0,Southern Illinois,Sr,,5,,,
1962,4,28,Jerry Grote,G,6-4,210.0,21.0,Loyola Marymount,Sr,STH to LAL,1,76896.0,USA,1964
1962,5,37,Tom Hatton,,,,,Dayton,Sr,,0,,,
1962,6,46,Jay Carty,FC,6-8,220.0,20.0,Oregon State,Sr,,1,76363.0,USA,1968
1962,7,55,Bob McAteer,,,,,La Salle,Sr,,0,,,
1962,8,63,Terry Ball,,,,,Washington State,Sr,,0,,,
1962,9,72,Marvin Trotman,,,,,Elizabeth City State,Sr,,0,,,
1962,10,81,Charlie Sells,F,6-7,,,Washington State,Sr,,0,,,
1962,11,87,Tom Chappelle,,,,,Maine,Sr,,0,,,
1962,12,91,John Caveny,,,,,Le Moyne,Sr,,0,,,
1962,13,94,Jerry Carlton,,,,,Arkansas,Sr,,0,,,
1962,14,96,Wilky Gilmore,,,,,Colorado,Sr,,0,,,
1962,15,98,Dave Ricerto,,,,,Rhode Island,Sr,,0,,,
1962,16,100,Rally Rounsaville,,,,,Caltech,Sr,,0,,,
1961,1,8,Cleo Hill,G,6-1,185.0,22.0,Winston-Salem State,Sr,,1,77025.0,USA,1961
1961,2,16,Ron Horn,F,6-7,220.0,22.0,Indiana,Sr,,2,77058.0,USA,1962
1961,3,30,Tom Chilton,G,6-4,180.0,,East Tennessee State,Sr,,0,,,
1961,4,39,Gus Guydon,F,6-7,185.0,22.0,Drake,Sr,,0,,,
1961,5,48,John Berberich,,,,,UCLA,Sr,,0,,,
1961,6,57,Bob McDonald,,,,,Maryland,Sr,,0,,,
1961,7,66,Charles Riley,,,,,Winston-Salem State,Sr,,0,,,
1961,8,75,Gene Velloff,,,,,Doane College,Sr,,0,,,
1961,9,82,Herbert Gray,,,,,North Carolina A&T,Sr,,0,,,
1961,10,90,Tom Faszholz,,,,,Concordia Theological Seminary (IN),Sr,,0,,,
1961,11,98,Dick Kepley,C,6-9,220.0,,North Carolina,Sr,,0,,,
1961,12,101,Jackie Crawford,,,,,Centenary (LA),Sr,,0,,,
1961,13,104,Howard Stacy,,,,,Louisville,Sr,,0,,,
1960,1,6,Lenny Wilkens,PG,6-1,180.0,22.0,Providence,Sr,,15,78530.0,USA,1974
1960,2,14,Frank Radovich,FC,6-8,235.0,22.0,Indiana,Sr,,1,77899.0,USA,1961
1960,3,22,Fred LaCour,F,6-5,205.0,22.0,San Francisco,Sr,,3,77327.0,USA,1962
1960,4,30,Horace Walker,F,6-3,210.0,22.0,Michigan State,Sr,STH to WAS,1,78438.0,USA,1961
1960,5,38,Jimmy Darrow,G,5-10,170.0,22.0,Bowling Green,Sr,,1,76511.0,USA,1961
1960,6,46,York Larese,G,6-4,190.0,21.0,North Carolina,Jr,,1,77339.0,USA,1961
1960,7,54,Bob Sims,F,6-5,220.0,21.0,Pepperdine,Sr,,1,78160.0,USA,1961
1960,8,61,Don Curry,,,,,Southern Mississippi,Sr,,0,,,
1960,9,68,Bob Castanada,,,,,Rockhurst,Sr,,0,,,
1960,10,74,Americas John-Lewis,,,,,Iowa,Sr,,0,,,
1960,11,79,Dick Davies,G,6-1,176.0,24.0,LSU,Sr,,0,,,
1960,12,84,Bob Wilkinson,,,,,Indiana,Sr,,0,,,
1959,2,12,Al Seiden,G,5-11,170.0,21.0,St. John's,Sr,,0,,,
1959,2,13,Cal Ramsey,F,6-4,200.0,21.0,NYU,Sr,,2,77906.0,USA,1960
1959,3,21,Hank Stein,G,6-2,170.0,,Xavier,Sr,,0,,,
1959,4,29,Lee Harman,G,6-0,190.0,,Oregon State,Sr,,0,,,
1959,5,36,Nick Mantis,SG,6-3,190.0,23.0,Northwestern,Sr,STH to MIN,2,77457.0,USA,1962
1959,6,44,Mike Moran,FC,6-9,,,Marquette,Sr,,0,,,
1959,7,52,Orby Arnold,,,,,Memphis,Sr,,0,,,
1959,8,58,Willie Merriweather,,,,,Purdue,Sr,STH to MIN,0,,,
1959,9,64,Lou Pucillo,G,5-9,155.0,,NC State,Sr,,0,,,
1959,10,70,Ron Loneski,GF,6-4,217.0,,Kansas,Sr,,0,,,
1959,11,76,John Barnhill,G,6-1,180.0,21.0,Tennessee State,Sr,,7,76108.0,USA,1968
1958,1,6,Dave Gambee,F,6-6,215.0,21.0,Oregon State,Sr,,12,76774.0,USA,1969
1958,2,14,Hub Reed,C,6-9,215.0,21.0,Oklahoma City,Sr,,7,77927.0,USA,1964
1958,3,22,Wayne Embry,C,6-8,240.0,21.0,Miami (OH),Sr,STH to CIN,11,76668.0,USA,1968
1958,4,30,Julius Peques,G,6-3,175.0,21.0,Pittsburgh,Sr,,0,,,
1958,5,38,Rick Herrsher,,,,21.0,Southern Methodist,Sr,,0,,,
1958,6,46,John Crawford,F,6-5,,,Iowa,Sr,,0,,,
1958,7,54,Ken Sidle,,,,,Ohio State,Sr,STH to CIN,0,,,
1958,8,61,Bruno Boin,,,,,Washington,Jr,,0,,,
1958,9,67,Tink Van Patton,,,,,Temple,Sr,,0,,,
1958,10,72,James Purcell,,,,,Coe College,Sr,,0,,,
1958,11,76,Don Klein,,,,,Rockhurst,Sr,,0,,,
1958,12,80,Joe Buckhalter,PF,6-7,210.0,20.0,Tennessee State,Sr,,2,76293.0,USA,1962
1957,1,4,Win Wilfong,G,6-2,185.0,24.0,Memphis,Sr,,4,78529.0,USA,1960
1957,2,12,Jim Palmer,F,6-8,199.0,23.0,Dayton,Sr,STH to CIN,3,77792.0,USA,1960
1957,3,20,John Smyth,F,6-5,225.0,,Notre Dame,Sr,,0,,,
1957,4,28,Hank Nowak,G,6-3,180.0,,Canisius,Sr,,0,,,
1957,5,36,Al Rochelle,,,,,Vanderbilt,Sr,,0,,,
1957,6,44,Raymond Downs,,,,,Texas,Sr,,0,,,
1957,7,52,Mason Pope,,,,,Kentucky Wesleyan,Sr,,0,,,
1957,8,59,Bill Darragh,,,,,Louisville,Sr,,0,,,
1957,9,66,Calvin Grosscup,G,,,,Tulane,Sr,,0,,,
1957,10,72,Bobby Mills,,,,,Southern Methodist,Sr,,0,,,
1957,11,77,Gerald Dreier,C,,,,Macalester,Sr,,0,,,
1957,12,81,Bob Seitz,,,,,NC State,Sr,,0,,,
1957,13,84,Ed Romanoff,,,,,,,,0,,,
1957,14,85,Lavelle Langston,,,,,Northwestern State,Sr,,0,,,
1956,1,2,Bill Russell,C,6-10,215.0,22.0,San Francisco,Sr,STH to BOS,13,78049.0,USA,1968
1956,2,9,Willie Naulls,F,6-6,225.0,21.0,UCLA,Sr,,10,77693.0,USA,1965
1956,3,17,Darrell Floyd,G,6-1,175.0,23.0,Furman,Sr,,0,,,
1956,4,25,Robin Freeman,G,5-11,160.0,22.0,Ohio State,Sr,,0,,,
1956,5,33,Norm Stewart,,,,21.0,Missouri,Sr,,1,78256.0,USA,1956
1956,6,41,Dave Plunkett,,,,,Cincinnati,Sr,,0,,,
1956,7,49,Julius McCoy,,,,,Michigan State,Sr,,0,,,
1956,8,57,Morris Taft,G,,,,UCLA,Sr,,0,,,
1956,9,64,Jim Reed,,,,,Texas Tech,Sr,,0,,,
1956,10,71,Hershel Pederson,C,6-6,205.0,,Brigham Young,Sr,,0,,,
1956,11,77,Wally Choice,F,6-4,,,Indiana,Sr,,0,,,
1956,12,81,Ed Huse,,,,,Wyoming,Sr,,0,,,
1956,13,85,Arthur Helms,,,,,Houston,Sr,,0,,,
1956,14,89,Junior Morgan,C,,,,Duke,Sr,,0,,,
1955,1,1,Dick Ricketts,F,6-7,215.0,21.0,Duquesne,Sr,,3,77955.0,USA,1957
1955,2,7,Jack Stephens,G,6-2,190.0,21.0,Notre Dame,Sr,,1,78249.0,USA,1955
1955,3,15,Al Ferrari,G,6-2,190.0,21.0,Michigan State,Sr,,6,76708.0,USA,1962
1955,4,23,Burdette Haldorson,C,6-7,207.0,,Colorado,Sr,,0,,,
1955,5,31,Bill Bagley,F,,,,Saint Mary's,Sr,,0,,,
1955,6,39,Harvey Babetch,,,,,Bradley,Sr,,0,,,
1955,7,47,Joe Fitt,,,,,Scranton,Sr,,0,,,
1955,8,55,Bill Reigel,G,6-3,,,McNeese State,Jr,,0,,,
1955,9,63,Lynn Cole,,,,,Creighton,Sr,,0,,,
1955,10,71,Dick Cable,,,,,Wisconsin,Sr,,0,,,
1955,11,79,Ed O'Connor,,,,,Manhattan,Sr,,0,,,
1955,12,86,Charles Hoxie,GF,6-4,,,Niagara,Sr,,0,,,
1955,13,91,Dick Welsh,,,,,USC,Sr,,0,,,
1954,1,2,Bob Pettit,FC,6-9,205.0,21.0,LSU,Sr,,11,77847.0,USA,1964
1954,2,11,Bob Mattick,C,6-10,225.0,20.0,Oklahoma State,Sr,,0,,,
1954,3,20,Walt Walowac,G,5-11,170.0,,Marshall,Sr,,0,,,
1954,4,29,Phil Martin,G,6-3,190.0,26.0,Toledo,Sr,,1,77477.0,USA,1954
1954,5,38,Paul Ebert,GF,6-4,188.0,21.0,Ohio State,Sr,,0,,,
1954,6,47,Bob Carney,G,6-3,170.0,21.0,Bradley,Sr,MIL to MIN,1,76345.0,USA,1954
1954,7,56,Alan Kelley,G,5-11,164.0,21.0,Kansas,Sr,,0,,,
1954,8,65,Dick Nunneley,,,,,Tulsa,Sr,,0,,,
1954,9,74,Hal Cervini,,,,,Tulane,Sr,,0,,,
1954,10,82,Joe Bertrand,,,,,Notre Dame,Sr,,0,,,
1954,11,91,Jerry Domerschick,,,,,City College of New York,Sr,,0,,,
1954,12,97,Ron Weisner,GF,,,,Wisconsin,Sr,,0,,,
1953,1,2,Bob Houbregs,FC,6-7,210.0,21.0,Washington,Sr,,5,77062.0,USA,1957
1953,2,10,Bob Speight,F,6-7,185.0,22.0,NC State,Sr,,0,,,
1953,3,19,Irv Bemoras,GF,6-3,185.0,22.0,Illinois,Sr,,2,76145.0,USA,1956
1953,4,28,Bill Bolger,F,6-5,205.0,21.0,Georgetown,Sr,MIL to BAL,1,76196.0,USA,1953
1953,4,30,Gene Dyker,F,6-6,225.0,23.0,DePaul,Sr,,1,76626.0,USA,1953
1953,5,37,Joe Cipriano,,,,21.0,Washington,Sr,,0,,,
1953,6,46,John O'Brien,G,5-8,165.0,22.0,Seattle,Sr,,0,,,
1953,7,55,Eddie O'Brien,G,5-8,165.0,22.0,Seattle,Sr,,0,,,
1953,8,64,Darrell Tucker,,,,,Utah State,Sr,,0,,,
1953,9,73,Paul Brandt,,,,,Columbia,Sr,,0,,,
1953,10,82,Bob Rousey,G,,,,Kansas State,Sr,,0,,,
1952,1,1,Mark Workman,FC,6-9,215.0,22.0,West Virginia,Sr,,2,78616.0,USA,1953
1952,2,11,Eddie Miller,F,6-8,225.0,20.0,Syracuse,Sr,,2,77599.0,USA,1953
1952,3,21,Bobby Watson,G,6-0,161.0,22.0,Kentucky,Sr,,1,,,
1952,4,31,George McLeod,GF,6-5,201.0,21.0,TCU,Sr,,1,77549.0,USA,1952
1952,5,41,Pete Brewster,GF,6-3,210.0,21.0,Purdue,Sr,,0,,,
1952,6,51,Roger Johnson,,,,,Arizona,Sr,,0,,,
1952,7,61,Ab Nicholas,G,,,,Wisconsin,Sr,,0,,,
1952,8,71,Dick Retherford,,,,,Baldwin Wallace,Sr,,0,,,
1952,9,80,John Snee,,,,,Clemson,Sr,,0,,,
1952,10,87,Jim Tackett,,,,,New Mexico,Sr,,0,,,
1952,11,93,Coyt Vance,,,,,Mississippi State,Sr,,0,,,
1951,1,2,Mel Hutchins,FC,6-6,200.0,22.0,Brigham Young,Sr,,7,77089.0,USA,1957
1951,2,12,Bill Gossett,F,6-7,190.0,,Colorado State,Sr,,0,,,
1951,3,22,Ron Bontemps,G,6-2,174.0,24.0,Beloit,Sr,,0,,,
1951,4,32,Jim Slaughter,C,6-11,210.0,22.0,South Carolina,Sr,MIL to BAL,1,78171.0,USA,1951
1951,5,42,Bob Sakel,,,,,Evansville,Sr,,0,,,
1951,6,52,John Rennicke,G,6-2,185.0,21.0,Drake,Sr,,1,77941.0,USA,1951
1951,7,62,Bob Ambler,,,,,Arkansas,Sr,,0,,,
1951,8,72,Aaron Preece,,,,,Bradley,Sr,,0,,,
1951,9,80,Wayne Tucker,,,,,Colorado,Sr,,0,,,
1951,10,84,John DeWitt,,,,,Texas A&M,Sr,,0,,,
1950,1,4,Bob Cousy,PG,6-1,175.0,21.0,Holy Cross,Sr,TCB to CHI,14,600003.0,USA,1969
1950,2,16,Ed Gayda,GF,6-4,210.0,22.0,Washington State,Sr,,1,76797.0,USA,1950
1950,3,28,Clarence Brannum,,,,,Kansas State,Sr,,0,,,
1950,4,40,Paul Hicks,,,,,Eastern Kentucky,Sr,,0,,,
1950,5,52,Cal Christensen,F,6-5,210.0,22.0,Toledo,Sr,,5,76394.0,USA,1954
1950,6,64,Bob Anderson,,,,,Loyola (MD),Sr,,0,,,
1950,7,76,Bill Erickson,G,6-1,184.0,21.0,Illinois,Sr,,0,,,
1950,8,88,Loy Doty,,,,,Wyoming,Sr,,0,,,
1950,9,100,Nate DeLong,F,6-6,220.0,24.0,Wisconsin-River Falls,Sr,,1,76551.0,USA,1951
1950,10,112,Keith Bloom,,,,,Wyoming,Sr,,0,,,
