Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for,awards
1971,8,122,John Sutter,,,,,Tulane,Sr,,1,,,,,,
1971,9,139,Eugene Kennedy,GF,6-5,205.0,21.0,TCU,Jr,,1,77243.0,US,1976.0,0.0,HOU,
1971,10,155,Greg Starrick,G,6-2,,,Southern Illinois,Jr,,0,,,,,,
1971,11,171,Howard Burford,C,6-8,,,Gonzaga,Sr,,0,,,,,,
1971,12,185,Don Sechler,,,,,Delaware Valley,Sr,,0,,,,,,
1970,1,8,Geoff Petrie,G,6-4,190.0,21.0,Princeton,Sr,,7,77844.0,US,1975.0,0.0,POR,
1970,2,25,Walt Gilmore,PF,6-6,225.0,23.0,Fort Valley State,Sr,,2,76817.0,US,1970.0,0.0,POR,
1970,3,42,Bill Cain,F,6-6,210.0,,Iowa State,Sr,,0,,,,,,
1970,4,59,Jim Penix,SG,6-4,,,Bowling Green,Sr,,0,,,,,,
1970,5,76,Ron Knight,F,6-7,215.0,22.0,Cal State Los Angeles,Sr,,2,77288.0,US,1971.0,0.0,POR,
1970,6,93,George Janky,,,,,Dayton,Sr,,0,,,,,,
1970,7,110,Claude English,,,,23.0,Rhode Island,Sr,,1,76674.0,US,1970.0,0.0,POR,
1970,8,127,Doug Boyd,,,,,TCU,Sr,,0,,,,,,
1970,9,144,Billy Gaskins,,,,,Oregon,Sr,,0,,,,,,
1970,10,161,Israel Oliver,F,6-6,210.0,22.0,Elizabeth City State,Sr,,0,,,,,,
1970,11,176,Don McClemore,,,,,Bowling Green,Sr,,0,,,,,,
1970,12,188,Paul Adams,,,,,Central Washington,Sr,,0,,,,,,
1970,13,199,Alex Boyd,,,,,Nevada,Sr,,0,,,,,,
1970,14,208,Frank Loteridge,,,,,Texas-RGV,Sr,,0,,,,,,
1970,15,218,John Canady,,,,,Miami (FL),Sr,,0,,,,,,
1970,16,226,Doug Williams,,,,,St. Mary's (TX),Sr,,0,,,,,,
1970,18,235,Bruce Butchko,,,,,Southern Illinois,Sr,,0,,,,,,
1970,19,239,Mark Gabriel,,,,,Hanover,Sr,,0,,,,,,
