Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2023,2,36,"Andre Jackson, Jr.",G,6-6,209.0,21.0,UConn,Jr *,ORL to  MIL,2,MIL
2021,2,54,Sandro Mamukelashvili,F,6-9,240.0,22.0,Seton Hall,Sr *,IND to  MIL,4,MIL
2021,2,60,Georgios Kalaitzakis,F,6-7,205.0,22.0,Panathinaikos (Greece),1999 DOB,IND to  MIL,1,MIL
2020,2,60,Sam Merrill,G,6-4,205.0,24.0,Utah State,Sr,NOP to  MIL,5,MIL
2017,2,46,Sterling Brown,G,6-5,219.0,22.0,Southern Methodist,Sr,PHL to  MIL,6,MIL
2015,2,59,Dimitrios Agravanis,F,6-10,210.0,20.0,Olympiacos (Greece),1994 DOB *,ATL to  CLE CLE  to SAC SAC  to MIL,0,MIL
2013,2,38,Nate Wolters,PG,6-4,190.0,22.0,South Dakota State,Sr,WAS to  PHL PHL  to MIL,3,MIL
2011,1,19,Tobias Harris,F,6-8,226.0,18.0,Tennessee,Fr *,CHA to  MIL,14,MIL
2006,2,59,Damir Markota,PF,6-10,260.0,20.0,KK Cibona (Croatia),1985 DOB *,SAN to  MIL,1,MIL
2002,2,46,Jamal Sampson,FC,6-11,235.0,19.0,California,Fr *,UTH to  ORL ORL  to MIL,5,MIL
2000,1,9,Joel Przybilla,C,7-1,245.0,20.0,Minnesota,So *,HOU to  MIL,13,MIL
1998,1,6,Robert Traylor,F-C,6-8,284.0,21.0,Michigan,Jr *,DAL to  MIL,7,MIL
1996,1,5,Ray Allen,SG,6-5,205.0,20.0,UConn,Jr *,MIN to  MIL,18,MIL
1995,1,8,Shawn Respert,G,6-1,195.0,23.0,Michigan State,Sr,POR to  MIL,5,MIL
1995,2,54,Eurelijus Zukauskas,C,7-2,260.0,21.0,Neptunas (Lithuania),1973 DOB,SEA to  MIL,0,MIL
1994,2,36,Andrei Fetisov,F,6-10,220.0,22.0,UEMC Real Valladolid Baloncesto (Spain),1972 DOB,BOS to  MIL,0,MIL
1992,1,21,Jon Barry,SG,6-4,195.0,22.0,Georgia Tech,Sr,BOS to  MIL,14,MIL
1991,1,15,Anthony Avent,F,6-9,235.0,21.0,Seton Hall,Sr,ATL to  DEN DEN  to MIL,7,MIL
1989,2,35,Pat Durham,F,6-7,210.0,22.0,Colorado State,Sr,DAL to  MIL,4,MIL
1978,4,74,Mel Davis,PF,6-8,220.0,,North Texas,Sr,NOJ to  MIL,1,MIL
1975,1,8,Junior Bridgeman,GF,6-5,210.0,21.0,Louisville,Sr,LAL to  MIL,12,MIL
1969,5,66,George Thompson,PG,6-2,200.0,21.0,Marquette,Sr,BOS to  MIL,1,MIL
