Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1986,7,148,Michael Anderson,,,,,Texas-RGV,Sr,,0,SAS
1985,1,14,Alfredrick Hughes,GF,6-5,215.0,22.0,Loyola (IL),Sr,,2,SAS
1985,2,29,Mike Brittain,C,7-0,235.0,21.0,South Carolina,Sr,,2,SAS
1985,2,35,Tyrone Corbin,F,6-6,210.0,22.0,DePaul,Sr,,16,SAS
1985,4,82,Scott Roth,F,6-8,212.0,22.0,Wisconsin,Sr,,3,SAS
1985,5,106,Clayton Olivier,C,6-10,,,USC,Sr,,0,SAS
1985,6,128,Chris Harper,,,,,Oregon,Sr,,0,SAS
2024,2,36,Juan Nunez,PG,6-4,190.0,20.0,Ratiopharm Ulm (Germany),2004 DOB *,IND to  SAN,0,SAS
2015,2,42,Olivier Hanlan,G,6-4,190.0,22.0,Boston College,Jr *,UTH to  SAN,0,SAS
2011,1,15,Kawhi Leonard,F,6-6,225.0,19.0,San Diego State,So *,IND to  SAN,14,SAS
2011,2,42,Davis Bertans,SF,6-10,225.0,18.0,Union Olimpija (Slovenia),1992 DOB *,IND to  SAN,8,SAS
2008,2,48,Malik Hairston,SF,6-6,220.0,21.0,Oregon,Sr,PHX to  SAN,2,SAS
2005,2,46,Erazem Lorbek,FC,6-11,242.0,21.0,Fortituto Kontatto Bologna (Italy),1984 DOB *,IND to  SAN,0,SAS
2004,2,42,Viktor Sanikidze,F,6-7,194.0,18.0,JDA Dijon Basket (France),1986 DOB *,ATL to  SAN,0,SAS
1988,2,47,Vernon Maxwell,G,6-4,180.0,22.0,Florida,Sr,DEN to  SAN,13,SAS
1986,2,28,Larry Krystkowiak,PF,6-9,220.0,21.0,Montana,Sr,CHI to  POR POR  to SAN,11,SAS
1982,2,27,Fred Roberts,FC,6-10,218.0,21.0,Brigham Young,Sr,MIL to  NJN NJN  to SAN,14,SAS
1979,2,43,Johnny Moore,G,6-1,175.0,21.0,Texas,Sr,SEA to  SAN,10,SAS
