Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1986,1,1,Brad Daugherty,C,7-0,245.0,20.0,North Carolina,Sr,,10,CLE
1986,1,8,Ron Harper,SG,6-6,185.0,22.0,Miami (OH),Sr,,15,CLE
1986,2,29,Johnny Newman,SF,6-7,190.0,22.0,Richmond,Sr,,16,CLE
1986,3,50,Kevin Henderson,SG,6-4,195.0,22.0,Cal State Fullerton,Sr,,2,CLE
1986,4,73,Warren Martin,C,6-11,240.0,,North Carolina,Sr,,2,CLE
1986,5,96,Ben Davis,GF,6-4,,,Gardner-Webb,Sr,,0,CLE
1986,6,119,Gilbert Wilburn,SF,6-4,,22.0,New Mexico State,Sr,,0,CLE
1986,7,142,Ralph Dalton,C,6-11,,,Georgetown,Sr,,0,CLE
1985,2,45,Hot Rod Williams,FC,6-11,215.0,22.0,Tulane,Sr,,15,CLE
1985,3,55,Herb Johnson,PF,6-10,220.0,,Tulsa,Sr,,1,CLE
1985,4,79,Mark Davis,GF,6-6,195.0,22.0,Old Dominion,Sr,,4,CLE
1985,6,125,Ricky Johnson,,,,,Illinois State,Sr,,1,CLE
1985,7,147,Buzz Peterson,G,6-3,175.0,22.0,North Carolina,Sr,,1,CLE
1984,2,27,Ron Anderson,GF,6-7,215.0,25.0,Fresno State,Sr,,10,CLE
1984,3,50,Ben McDonald,F,6-8,210.0,21.0,UC Irvine,Sr,,3,CLE
1984,3,60,Leonard Mitchell,PF,6-7,,,LSU,Sr,,1,CLE
1984,4,73,Art Aaron,SF,6-7,,,Northwestern,Sr,,1,CLE
1984,5,96,Vince Hinchen,,,,,Boise State,Sr,,1,CLE
1984,6,119,Matt Doherty,F,6-7,205.0,22.0,North Carolina,Sr,,0,CLE
1984,7,142,Joe Jakubick,G,6-5,,,Akron,Sr,,0,CLE
1984,8,165,Elliot Beard,,,,,Oberlin,Sr,,1,CLE
1984,9,187,John Shimko,,,,,Xavier,Sr,,0,CLE
1984,10,209,Darrell Space,,,,,Northeastern Illinois,Sr,,1,CLE
2019,1,30,"Kevin Porter, Jr.",SF,6-5,203.0,19.0,USC,Fr *,MIL to  DET DET  to CLE,5,CLE
2016,2,54,Kay Felder,PG,5-9,176.0,21.0,Oakland,Jr *,ATL to  CLE,2,CLE
2015,2,31,Cedi Osman,GF,6-7,230.0,20.0,Anadolu Efes (Turkey),1995 DOB *,MIN to  CLE,7,CLE
