Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1986,3,49,Juden Smith,SF,6-6,190.0,,UTEP,Sr,,0,POR
1986,3,60,Drazen Petrovic,SG,6-5,200.0,21.0,KK Cibona (Croatia),1964 DOB,,4,POR
1986,4,83,David Shaffer,SF,6-8,215.0,,Florida State,Sr,,0,POR
1986,5,106,Jerry Adams,C,,,,Oregon,Sr,,1,POR
1986,6,129,Tony Hampton,,,,,Montana State,Sr,,0,POR
1986,7,152,Randy Schiff,,,,,Linfield College,Sr,,0,POR
1985,1,24,Terry Porter,PG,6-3,195.0,22.0,Wisconsin-Stevens Point,Sr,,17,POR
1985,2,39,George Montgomery,PF,6-9,235.0,23.0,Illinois,Sr,,0,POR
2025,1,16,Yang Hansen,C,7-1,270.0,19.0,Qingdao (China),2005 DOB *,MEM to  POR,0,POR
2021,2,43,Greg Brown III,SF,6-7,206.0,19.0,Texas,Fr *,NOP to  POR,3,POR
2018,2,37,"Gary Trent, Jr.",SG,6-5,204.0,19.0,Duke,Fr *,SAC to  POR,7,POR
2017,1,10,Zach Collins,C,6-9,250.0,19.0,Gonzaga,Fr *,SAC to  POR,8,POR
2016,2,47,Jake Layman,SF,6-8,209.0,22.0,Maryland,Sr,ORL to  POR,6,POR
2015,2,41,Pat Connaughton,SF,6-5,209.0,22.0,Notre Dame,Sr,BRK to  POR,10,POR
2015,2,54,Daniel Diez,SF,6-8,216.0,22.0,Gipuzkoa Basket (Spain),1993 DOB,UTH to  POR POR  to NYK NYK  to POR,0,POR
2013,2,31,Allen Crabbe,SG,6-6,212.0,21.0,California,Jr *,CLE to  POR,7,POR
2010,1,16,Luke Babbitt,SF,6-9,225.0,21.0,Nevada,So *,MIN to  POR,8,POR
2009,2,31,Jeff Ayres,FC,6-10,240.0,22.0,Arizona State,Sr,SAC to  POR,6,POR
2008,1,11,Jerryd Bayless,G,6-3,210.0,19.0,Arizona,Fr *,IND to  POR,11,POR
2008,1,25,Nicolas Batum,F,6-7,230.0,19.0,Le Mans Sarthe Basket (France),1988 DOB *,HOU to  POR,17,POR
2008,2,44,Ante Tomic,C,7-1,225.0,21.0,KK Zagreb (Croatia),1987 DOB *,UTH to  NYK NYK  to POR,0,POR
2007,1,24,Rudy Fernandez,SG,6-6,185.0,22.0,Joventut Badalona (Spain),1985 DOB,PHX to  POR,4,POR
2007,2,60,Milovan Rakovic,PF,6-10,286.0,22.0,KK Mega Bemax (Serbia),1985 DOB,DAL to  ORL ORL  to CHI CHI  to POR,0,POR
2006,1,2,LaMarcus Aldridge,FC,6-11,265.0,20.0,Texas,So *,CHI to  POR,16,POR
2006,1,6,Brandon Roy,G,6-6,211.0,21.0,Washington,Sr,MIN to  POR,6,POR
