Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2001,2,34,Brian Scalabrine,PF,6-9,241.0,23.0,USC,Sr,,11,BKN
2000,1,1,Kenyon Martin,F,6-9,240.0,22.0,Cincinnati,Sr,,15,BKN
2000,2,36,Soumaila Samake,C,7-0,230.0,22.0,Cincinnati Stuff (United States),1978 DOB,,4,BKN
1999,2,34,Evan Eschmeyer,C,6-11,255.0,24.0,Northwestern,Sr,,6,BKN
1997,1,7,Tim Thomas,F,6-10,240.0,20.0,Villanova,Fr  *,NJN to  PHL,13,BKN
1997,1,21,Anthony Parker,GF,6-6,215.0,22.0,Bradley,Sr,NJN to  PHL,9,BKN
1996,1,8,Kerry Kittles,G,6-5,179.0,22.0,Villanova,Sr,,9,BKN
1995,1,9,Ed O'Bannon,F,6-8,222.0,22.0,UCLA,Sr,,4,BKN
1994,1,14,Yinka Dare,C,7-1,270.0,21.0,George Washington,So  *,,5,BKN
1993,1,16,Rex Walters,G,6-4,190.0,23.0,Kansas,Sr,,8,BKN
1993,2,36,John Best,PF,6-8,215.0,22.0,Tennessee Tech,Sr,,1,BKN
1992,2,29,P.J. Brown,C,6-11,225.0,22.0,Louisiana Tech,Sr,,15,BKN
1992,2,40,Steve Rogers,SG,6-5,190.0,23.0,Alabama State,Sr,,1,BKN
1991,1,2,Kenny Anderson,PG,6-0,168.0,20.0,Georgia Tech,So  *,,14,BKN
1991,2,53,Von McDade,G,6-4,185.0,24.0,Milwaukee,Sr,,1,BKN
1990,1,1,Derrick Coleman,FC,6-10,230.0,23.0,Syracuse,Sr,,15,BKN
1990,1,22,Tate George,SG,6-5,195.0,22.0,UConn,Sr,,6,BKN
1989,1,12,Mookie Blaylock,PG,6-1,190.0,22.0,Oklahoma,Sr,,13,BKN
1989,2,32,Stanley Brundy,F,6-6,210.0,21.0,DePaul,Sr,,2,BKN
1988,1,4,Chris Morris,SF,6-8,210.0,22.0,Auburn,Sr,,11,BKN
1988,2,32,Charles Shackleford,F-C,6-10,225.0,22.0,NC State,Jr  *,,8,BKN
