Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
1990,2,28,Les Jepsen,C,7-0,245.0,23.0,Iowa,Sr,,2,77129.0,US,1991,0.0
1990,2,34,Kevin Pritchard,G,6-3,180.0,22.0,Kansas,Sr,,4,340.0,US,1995,0.0
1989,1,14,Tim Hardaway,PG,6-0,175.0,22.0,UTEP,Sr,,14,896.0,US,2002,0.0
1988,1,5,Mitch Richmond,SG,6-5,215.0,22.0,Kansas State,Sr,,14,782.0,US,2001,0.0
1988,2,41,Keith Smart,G,6-1,175.0,23.0,Indiana,Sr,,2,78175.0,US,1988,0.0
1987,1,14,Tellis Frank,FC,6-10,225.0,22.0,Western Kentucky,Sr,,5,76748.0,US,1993,0.0
1987,3,58,Darryl Johnson,PG,6-1,170.0,21.0,Michigan State,Sr,,2,683.0,US,1995,0.0
1987,4,83,Benny Bolton,FC,6-8,220.0,,NC State,Sr,,0,,,,
1987,5,105,Terry Williams,,,,,Southern Methodist,Sr,,0,,,,
1987,6,127,Sarunas Marciulionis,GF,6-4,209.0,23.0,Lietuvos Rytas (Lithuania),1964 DOB,,8,36.0,LT,1996,0.0
1987,7,152,Ronnie Leggette,,,,,West Virginia State,Sr,,0,,,,
1986,1,3,Chris Washburn,C,6-11,225.0,21.0,NC State,So *,,3,78463.0,US,1987,0.0
1986,3,51,Mike Williams,F,6-8,255.0,22.0,Bradley,Sr,,3,78558.0,US,1989,0.0
1986,3,59,Wendell Alexis,F,6-8,220.0,21.0,Syracuse,Sr,,1,,,,
1986,4,75,Dan Bingenheimer,PF,6-9,240.0,22.0,Texas,Sr,,1,,,,
1986,5,97,Clinton Smith,F,6-6,210.0,22.0,Cleveland State,Sr,,3,78181.0,US,1990,0.0
1985,2,42,Bobby Lee Hurt,PF,6-9,240.0,23.0,Alabama,Sr,,0,,,,
1986,7,143,Steve Kenilvort,G,,,,Santa Clara,Sr,,0,,,,
1985,1,7,Chris Mullin,SF,6-7,215.0,21.0,St. John's,Sr,,16,904.0,US,2000,0.0
1985,3,49,Brad Wright,FC,6-11,225.0,23.0,UCLA,Sr,,2,78620.0,US,1987,0.0
1985,4,71,Luster Goodwin,SG,6-1,180.0,,UTEP,Sr,,1,,,,
1985,5,95,Greg Cavener,FC,6-9,,,Missouri,Sr,,1,,,,
1985,6,117,Gerald Crosby,G,,,,Georgia,Sr,,0,,,,
1985,7,141,Eric Boyd,G,6-4,,,North Carolina A&T,Sr,,0,,,,
1984,2,30,Steve Burtt,G,6-2,185.0,21.0,Iona,Sr,,5,76316.0,US,1992,0.0
1984,2,35,Othell Wilson,G,6-0,190.0,22.0,Virginia,Sr,,3,78578.0,US,1986,0.0
1984,2,45,Gary Plummer,FC,6-9,215.0,22.0,Boston University,Sr,,4,77865.0,US,1992,0.0
1984,3,55,Lewis Jackson,SG,6-6,200.0,21.0,Alabama State,Sr,,1,,,,
1984,5,101,Steve Bartek,,,,,Doane College,Sr,,0,,,,
1984,5,110,Scott McCollum,,,,,Pepperdine,Sr,,0,,,,
1984,6,123,Tony Martin,,,,,Wyoming,Sr,,0,,,,
1984,7,147,Cliff Higgins,F,6-6,195.0,,Cal State Northridge,Sr,,0,,,,
1984,8,169,Paul Brozovich,,,,,UNLV,Sr,,0,,,,
1984,9,192,Mitch Arnold,,,,,Fresno State,Sr,,0,,,,
1984,10,213,Tim Bell,,,,,UC Riverside,Sr,,0,,,,
1983,1,6,Russell Cross,C,6-10,215.0,21.0,Purdue,Jr *,,2,76478.0,US,1983,0.0
1983,2,43,Pace Mannion,GF,6-7,190.0,22.0,Utah,Sr,,6,77456.0,US,1988,0.0
1983,3,53,Mike Holton,G,6-4,185.0,21.0,UCLA,Sr,,7,77047.0,US,1989,0.0
1983,4,77,Peter Thibeaux,F,6-7,210.0,21.0,Saint Mary's,Sr,,3,78311.0,US,1985,0.0
1983,5,99,Greg Hines,FC,,,,Hampton,Sr,,0,,,,
1983,6,123,Tom Heywood,,,,,Weber State,Sr,,0,,,,
1983,7,145,Peter Williams,,,,,Utah,Sr,,0,,,,
1983,8,169,Doug Harris,F,6-7,,,Central Washington,Sr,,0,,,,
1983,9,190,Greg Goorjiam,,,,,Loyola Marymount,Sr,,0,,,,
1983,10,212,Michael Zeno,,,,,Long Beach State,Sr,,0,,,,
1982,1,14,Lester Conner,G,6-4,180.0,22.0,Oregon State,Sr,,12,76431.0,US,1994,0.0
1982,2,35,Derek Smith,SG,6-6,205.0,20.0,Louisville,Sr,,9,78183.0,US,1990,0.0
1982,3,60,Chris Engler,C,6-11,245.0,23.0,Wyoming,Sr,,6,76670.0,US,1987,0.0
1982,4,83,Ken Stancell,PF,6-9,225.0,,VCU,Sr,,1,,,,
1982,5,106,Albert Irving,,,,,Alcorn State,Sr,,0,,,,
1982,6,129,David Vann,,,,,Saint Mary's,Sr,,0,,,,
1982,7,152,Matt Waldron,F,,,,Pacific,Sr,,0,,,,
1982,8,175,Mark King,,,,,Florida Southern,Sr,,0,,,,
1982,9,198,Nick Morken,,,,,Chattanooga,Sr,,1,,,,
1982,10,219,Randy Whieldon,G,,,,UC Irvine,Sr,,0,,,,
