Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2015,1,24,Tyus Jones,PG,6-0,196,19,Duke,Fr *,CLE to  MIN,10,MIN
2013,1,14,Shabazz Muhammad,GF,6-6,222,20,UCLA,Fr *,UTH to  MIN,5,MIN
2013,1,21,Gorgui Dieng,FC,6-10,250,23,Louisville,Jr *,UTH to  MIN,10,MIN
2011,2,43,Malcolm Lee,G,6-5,200,21,UCLA,Jr *,CHI to  MIN,3,MIN
2011,2,57,Tanguy Ngombo,GF,6-6,230,21,Al-Rayyan Sports Club (Qatar),1989 DOB,DAL to  POR POR  to MIN,0,MIN
2010,1,30,Lazar Hayward,F,6-6,225,23,Marquette,Sr,WAS to  MIN,3,MIN
2010,2,35,Nemanja Bjelica,PF,6-10,235,22,KK Crvena Zvezda (Serbia),1988 DOB,WAS to  MIN,7,MIN
2008,1,5,Kevin Love,FC,6-10,251,19,UCLA,Fr *,MEM to  MIN,17,MIN
2006,1,7,Randy Foye,G,6-4,218,22,Villanova,Sr,BOS to  POR POR  to MIN,11,MIN
1996,1,4,Stephon Marbury,G,6-2,180,19,Georgia Tech,Fr *,MIL to  MIN,13,MIN
1993,2,38,Conrad McRae,F,6-9,222,22,Syracuse,Sr,WAS to  MIN,1,MIN
1985,5,101,Gunther Behnke,C,7-3,251,22,Tus Jena (Germany),1963 DOB,CLE to  MIN,0,MIN
