Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1995,1,26,Sherell Ford,F,6-7,210.0,22.0,Illinois-Chicago,Sr,,3,OKC
1995,2,54,Eurelijus Zukauskas,C,7-2,260.0,21.0,Neptunas (Lithuania),1973 DOB,SEA to  MIL,0,OKC
1994,1,11,Carlos Rogers,FC,6-11,220.0,23.0,Tennessee State,Sr,SEA to  GOS,8,OKC
1994,2,37,Dontonio Wingfield,F,6-8,256.0,20.0,Cincinnati,Fr  *,,4,OKC
1994,2,54,Zeljko Rebraca,C,7-0,265.0,22.0,KK Partizan (Serbia),1972 DOB,SEA to  MIN MIN  to TOR TOR  to DET,6,OKC
1993,1,23,Ervin Johnson,C,6-11,245.0,25.0,New Orleans,Sr,,13,OKC
1993,2,42,Adonis Jordan,G,5-11,170.0,22.0,Kansas,Sr,,2,OKC
1992,1,17,Doug Christie,SG,6-6,200.0,22.0,Pepperdine,Jr,SEA to  LAL,15,OKC
1992,2,45,Chris King,F,6-8,215.0,22.0,Wake Forest,Sr,,6,OKC
1991,1,14,Rich King,C,7-2,260.0,22.0,Nebraska,Sr,,7,OKC
1990,1,2,Gary Payton,G,6-4,180.0,21.0,Oregon State,Sr,,17,OKC
1990,2,38,Jud Buechler,SF,6-6,220.0,22.0,Arizona,Sr,SEA to  NJN,12,OKC
1990,2,53,Abdul Shamsid-Deen,FC,6-10,225.0,21.0,Providence,Sr,,0,OKC
1989,1,16,Dana Barros,PG,5-11,165.0,22.0,Boston College,Sr,,14,OKC
1989,1,17,Shawn Kemp,C,6-10,280.0,19.0,Trinity Valley CC,Fr  *,,14,OKC
1988,1,15,Gary Grant,G,6-3,185.0,23.0,Michigan,Sr,SEA to  LAC,13,OKC
1988,3,65,Corey Gaines,G,6-3,195.0,23.0,Loyola Marymount,Sr,,7,OKC
1987,1,5,Scottie Pippen,SF,6-8,228.0,21.0,Central Arkansas,Sr,SEA to  CHI,18,OKC
1987,1,9,Derrick McKey,SF,6-9,205.0,20.0,Alabama,Jr  *,,15,OKC
1987,3,55,Tommy Amaker,PG,6-0,155.0,22.0,Duke,Sr,,1,OKC
1987,4,78,Todd Linder,F,6-7,205.0,,Tampa,Sr,,0,OKC
1987,5,101,Michael Tait,,,,,Clemson,Sr,,1,OKC
1987,6,124,Tom Gneiting,C,6-10,220.0,,Brigham Young,Sr,,0,OKC
2024,1,26,Dillon Jones,PG,6-5,235.0,22.0,Weber State,Sr *,WAS to  NYK NYK  to OKC,1,OKC
2024,2,38,Ajay Mitchell,PG,6-4,190.0,22.0,UC Santa Barbara,Jr *,NYK to  OKC,1,OKC
2023,1,10,Cason Wallace,G,6-3,195.0,19.0,Kentucky,Fr *,DAL to  OKC,2,OKC
2022,1,11,Ousmane Dieng,SG,6-9,185.0,19.0,New Zealand (New Zealand),2003 DOB *,NYK to  OKC,3,OKC
2021,2,32,Jeremiah Robinson-Earl,PF,6-9,240.0,20.0,Villanova,So *,NYK to  OKC,4,OKC
2020,1,17,Aleksej Pokusevski,C,7-0,210.0,18.0,Olympiacos U18 (Greece),2001 DOB *,MIN to  OKC,4,OKC
2020,2,34,Theo Maledon,PG,6-4,175.0,19.0,ASVEL Basket (France),2001 DOB *,PHL to  OKC,4,OKC
2020,2,37,Vit Krejci,PG,6-8,195.0,20.0,Zaragoza U18 (Spain),2000 DOB *,WAS to  OKC,4,OKC
2019,1,23,Darius Bazley,PF,6-9,216.0,19.0,,*,UTH to  MEM MEM  to OKC,5,OKC
2018,2,45,Hamidou Diallo,SG,6-5,202.0,19.0,Kentucky,Fr *,BRK to  CHA CHA  to OKC,6,OKC
2016,1,11,Domantas Sabonis,PF,6-10,240.0,20.0,Gonzaga,So *,ORL to  OKC,9,OKC
2016,2,56,Daniel Hamilton,SG,6-7,195.0,20.0,UConn,So *,DEN to  OKC,2,OKC
2014,2,52,Vasilije Micic,PG,6-3,188.0,20.0,KK Mega Bemax (Serbia),1994 DOB *,PHL to  OKC,2,OKC
2014,2,55,Semaj Christon,PG,6-3,190.0,21.0,Xavier,So *,MIA to  CHA CHA  to OKC,1,OKC
2013,1,26,Andre Roberson,SG,6-7,210.0,21.0,Colorado,Jr *,MIN to  GOS GOS  to OKC,8,OKC
2013,2,40,Grant Jerrett,PF,6-10,232.0,19.0,Arizona,Fr *,POR to  OKC,2,OKC
2012,2,56,Tomislav Zubcic,C,6-10,230.0,22.0,KK Cibona (Croatia),1990 DOB,TOR to  OKC,0,OKC
2010,1,11,Cole Aldrich,C,6-11,253.0,21.0,Kansas,Jr *,NOP to  OKC,8,OKC
2010,2,57,Ryan Reid,PF,6-8,235.0,23.0,Florida State,Sr,IND to  OKC,1,OKC
2009,1,24,Byron Mullens,C,7-0,270.0,20.0,Ohio State,Fr *,DAL to  OKC,5,OKC
2009,2,54,Robert Vaden,SG,6-5,220.0,24.0,UAB,Sr,CHA to  OKC,1,OKC
2008,1,29,D.J. White,PF,6-9,250.0,21.0,Indiana,Sr,DET to  SEA,6,OKC
2008,2,38,Kyle Weaver,SG,6-6,200.0,22.0,Washington State,Sr,CHA to  OKC,3,OKC
2007,1,5,Jeff Green,F,6-8,235.0,20.0,Georgetown,Jr *,BOS to  SEA,17,OKC
2003,2,34,Sofoklis Schortsanitis,FC,6-8,375.0,18.0,Maccabi FOX Tel Aviv (Israel),1985 DOB *,LAC to  ATL ATL  to OKC,0,OKC
2003,2,35,Szymon Szewczyk,F,6-9,245.0,20.0,Basketball Lowen Braunschweig (Germany),1982 DOB *,MIL to  OKC,0,OKC
2003,2,50,Paccelis Morlende,G,6-3,185.0,22.0,JDA Dijon Basket (France),1981 DOB,PHL to  SEA,0,OKC
1997,2,32,James Cotton,G,6-5,220.0,21.0,Long Beach State,Jr *,DEN to  SEA,3,OKC
1997,2,48,Peja Drobnjak,FC,6-11,270.0,21.0,KK Partizan (Serbia),1975 DOB,WAS to  SEA,4,OKC
1995,2,43,Eric Snow,G,6-3,190.0,22.0,Michigan State,Sr,MIL to  SEA,14,OKC
1987,1,8,Olden Polynice,C,6-11,220.0,22.0,RivieraBanca Rimini (Italy),1964 DOB *,CHI to  SEA,16,OKC
1984,1,12,Tim McCormick,C,6-11,240.0,22.0,Michigan,Jr *,CLE to  SEA,10,OKC
