Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1989,1,13,Michael Smith,F,6-10,225.0,24.0,Brigham Young,Sr,,5,BOS
1989,2,40,Dino Radja,PF,6-11,255.0,22.0,KK Split (Croatia),1967 DOB,,4,BOS
1988,1,24,Brian Shaw,PG,6-6,190.0,22.0,UC Santa Barbara,Sr,,14,BOS
1988,3,74,Gerald Paddio,GF,6-7,205.0,23.0,UNLV,Sr,,5,BOS
1987,1,22,Reggie Lewis,SF,6-7,195.0,21.0,Northeastern,Sr,,6,BOS
1987,2,45,Brad Lohaus,FC,6-11,230.0,22.0,Iowa,Sr,,12,BOS
1987,4,70,Tom Sheehey,SF,6-7,225.0,,Virginia,Sr,,1,BOS
1987,4,91,Darryl Kennedy,SF,6-5,224.0,22.0,Oklahoma,Sr,,1,BOS
1987,5,114,Dave Butler,F,6-8,,,California,Sr,,0,BOS
1987,6,137,Tim Naegeli,,,,,Wisconsin-Stevens Point,Sr,,0,BOS
1987,7,160,Jerry Corcoran,,,,,Northeastern,Sr,,1,BOS
1986,1,2,Len Bias,F,6-8,210.0,22.0,Maryland,Sr,,0,BOS
1986,4,93,Tony Benford,SG,6-3,,,Texas Tech,Sr,,0,BOS
1986,5,116,Dave Colbert,F,6-10,,,Dayton,Sr,,0,BOS
1986,6,139,Greg Wendt,F,6-6,205.0,23.0,Detroit-Mercy,Sr,,0,BOS
1986,7,162,Tom Ivey,,,,,Boston University,Sr,,0,BOS
1985,1,20,Sam Vincent,G,6-2,185.0,22.0,Michigan State,Sr,,8,BOS
1985,3,70,Andre Battle,SG,6-3,195.0,,Loyola (IL),Sr,,1,BOS
1985,4,93,Cliff Webber,PF,6-10,,,Liberty,Sr,,0,BOS
1985,5,116,Albert Butts,,,,,La Salle,Sr,,0,BOS
1985,6,139,Ralph Lewis,G,6-6,200.0,22.0,La Salle,Sr,,3,BOS
2025,2,46,Amari Williams,PF,6-11,250.0,23.0,Kentucky,Sr,ORL to  BOS,0,BOS
2025,2,57,Max Shulga,G,6-4,210.0,23.0,VCU,Sr,ORL to  BOS,0,BOS
2023,2,38,Jordan Walsh,F,6-6,205.0,19.0,Arkansas,Fr *,SAC to  BOS,2,BOS
2019,2,33,Carsen Edwards,PG,5-11,200.0,21.0,Purdue,Jr *,PHL to  BOS,3,BOS
2013,1,13,Kelly Olynyk,C,7-0,240.0,22.0,Gonzaga,Jr *,DAL to  BOS,12,BOS
2013,2,53,Colton Iverson,FC,7-0,255.0,23.0,Colorado State,Sr,IND to  BOS,0,BOS
2011,1,27,JaJuan Johnson,FC,6-10,220.0,22.0,Purdue,Sr,NJN to  BOS,1,BOS
2008,2,47,Henry Walker,GF,6-6,235.0,20.0,Kansas State,Fr *,WAS to  BOS,5,BOS
2007,2,35,Glen Davis,PF,6-9,289.0,21.0,LSU,Jr *,SEA to  BOS,8,BOS
2006,1,21,Rajon Rondo,PG,6-1,180.0,20.0,Kentucky,So *,PHX to  BOS,16,BOS
2006,2,49,Leon Powe,F,6-8,240.0,22.0,California,So *,DEN to  BOS,5,BOS
2003,1,13,Marcus Banks,G,6-2,200.0,21.0,UNLV,Sr,MEM to  BOS,8,BOS
2003,1,27,Kendrick Perkins,C,6-10,270.0,18.0,Ozen High School (Texas),1984 DOB *,MEM to  BOS,14,BOS
2000,2,47,Josip Sesar,G-F,6-6,202.0,22.0,KK Cibona (Croatia),1978 DOB,SEA to  BOS,0,BOS
1956,1,2,Bill Russell,C,6-10,215.0,22.0,San Francisco,Sr,STH to  BOS,13,BOS
1950,3,26,Dick Dickey,G,6-1,175.0,23.0,NC State,Sr,BAL to  BOS,1,BOS
1949,3,25,Ed Leede,G,6-3,185.0,21.0,Dartmouth,Sr,PRO to  BOS,2,BOS
1947,7,63,Saul Mariaschin,G,5-11,165.0,22.0,Harvard,Jr,WAS to  BOS,1,BOS
