Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1992,1,24,Latrell Sprewell,SG,6-5,190.0,21.0,Alabama,Sr,,13,GSW
1992,2,43,Sasha Danilovic,SF,6-5,200.0,22.0,,1970 DOB,GOS to  MIA,2,GSW
1992,2,50,Matt Fish,PF,6-11,235.0,22.0,UNC Wilmington,Sr,,7,GSW
1991,1,16,Chris Gatling,PF,6-10,220.0,23.0,Old Dominion,Sr,,11,GSW
1991,1,17,Victor Alexander,PF,6-9,265.0,21.0,Iowa State,Sr,,6,GSW
1991,1,25,Shaun Vandiver,C,6-10,240.0,23.0,Colorado,Sr,,0,GSW
1991,2,43,Lamont Strothers,G,6-4,190.0,23.0,Christopher Newport,Sr,GOS to  POR,2,GSW
1990,1,11,Tyrone Hill,PF,6-9,240.0,22.0,Xavier,Sr,,14,GSW
1990,2,28,Les Jepsen,C,7-0,245.0,23.0,Iowa,Sr,,2,GSW
1990,2,34,Kevin Pritchard,G,6-3,180.0,22.0,Kansas,Sr,,4,GSW
1989,1,14,Tim Hardaway,PG,6-0,175.0,22.0,UTEP,Sr,,14,GSW
1988,1,5,Mitch Richmond,SG,6-5,215.0,22.0,Kansas State,Sr,,14,GSW
1988,2,41,Keith Smart,G,6-1,175.0,23.0,Indiana,Sr,,2,GSW
1987,1,14,Tellis Frank,FC,6-10,225.0,22.0,Western Kentucky,Sr,,5,GSW
1987,3,58,Darryl Johnson,PG,6-1,170.0,21.0,Michigan State,Sr,,2,GSW
1987,4,83,Benny Bolton,FC,6-8,220.0,,NC State,Sr,,0,GSW
1987,5,105,Terry Williams,,,,,Southern Methodist,Sr,,0,GSW
1987,6,127,Sarunas Marciulionis,GF,6-4,209.0,23.0,Lietuvos Rytas (Lithuania),1964 DOB,,8,GSW
1987,7,152,Ronnie Leggette,,,,,West Virginia State,Sr,,0,GSW
1986,1,3,Chris Washburn,C,6-11,225.0,21.0,NC State,So  *,,3,GSW
1986,3,51,Mike Williams,F,6-8,255.0,22.0,Bradley,Sr,,3,GSW
1986,3,59,Wendell Alexis,F,6-8,220.0,21.0,Syracuse,Sr,,1,GSW
1986,4,75,Dan Bingenheimer,PF,6-9,240.0,22.0,Texas,Sr,,1,GSW
1986,5,97,Clinton Smith,F,6-6,210.0,22.0,Cleveland State,Sr,,3,GSW
1985,2,42,Bobby Lee Hurt,PF,6-9,240.0,23.0,Alabama,Sr,,0,GSW
1986,7,143,Steve Kenilvort,G,,,,Santa Clara,Sr,,0,GSW
1985,1,7,Chris Mullin,SF,6-7,215.0,21.0,St. John's,Sr,,16,GSW
1985,3,49,Brad Wright,FC,6-11,225.0,23.0,UCLA,Sr,,2,GSW
1985,4,71,Luster Goodwin,SG,6-1,180.0,,UTEP,Sr,,1,GSW
1985,5,95,Greg Cavener,FC,6-9,,,Missouri,Sr,,1,GSW
1985,6,117,Gerald Crosby,G,,,,Georgia,Sr,,0,GSW
1985,7,141,Eric Boyd,G,6-4,,,North Carolina A&T,Sr,,0,GSW
