Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2023,1,12,Dereck Lively II,C,7-1,230.0,19.0,Duke,Fr *,OKC to  DAL,2,DAL
2023,1,24,Olivier-Maxence Prosper,F,6-7,230.0,20.0,Marquette,Jr *,SAC to  DAL,2,DAL
2022,2,37,Jaden Hardy,SG,6-3,198.0,19.0,NBA G League Ignite,2002 DOB,SAC to  DAL,3,DAL
2020,2,36,Tyler Bey,PF,6-7,215.0,22.0,Colorado,Jr *,PHL to  DAL,1,DAL
2019,2,45,Isaiah Roby,SF,6-8,230.0,21.0,Nebraska,Jr *,DET to  DAL,4,DAL
2018,1,3,Luka Doncic,SF,6-8,230.0,19.0,Real Madrid (Spain),1999 DOB *,ATL to  DAL,7,DAL
2018,2,56,Raymond Spalding,PF,6-9,225.0,21.0,Louisville,Jr *,PHL to  DAL,3,DAL
2018,2,60,Kostas Antetokounmpo,PF,6-10,200.0,20.0,Dayton,Fr *,PHL to  DAL,4,DAL
2013,1,18,Shane Larkin,PG,5-11,175.0,20.0,Miami (FL),So *,ATL to  DAL,4,DAL
2013,2,43,Ricky Ledo,GF,6-7,197.0,20.0,Providence,Fr *,MIL to  PHL PHL  to DAL,2,DAL
2012,1,24,Jared Cunningham,SG,6-4,194.0,21.0,Oregon State,Jr *,CLE to  DAL,4,DAL
2012,2,33,Bernard James,PF,6-10,230.0,27.0,Florida State,Sr,CLE to  DAL,3,DAL
2012,2,34,Jae Crowder,SF,6-6,235.0,21.0,Marquette,Sr,CLE to  DAL,13,DAL
2010,1,25,Dominique Jones,G,6-4,215.0,21.0,South Florida,Jr *,MEM to  DAL,3,DAL
2009,1,25,Rodrigue Beaubois,G,6-1,183.0,21.0,Cholet Basket (France),1988 DOB *,OKC to  DAL,4,DAL
2007,2,39,Stanko Barac,C,7-1,245.0,20.0,BC Siroki (Bosnia and Herzegovina),1986 DOB *,MIA to  IND IND  to DAL,0,DAL
2007,2,44,Reyshawn Terry,PF,6-8,235.0,23.0,North Carolina,Sr,ORL to  DAL,0,DAL
2004,1,5,Devin Harris,G,6-3,185.0,21.0,Wisconsin,Jr *,WAS to  DAL,15,DAL
2004,1,21,Pavel Podkolzin,C,7-5,260.0,19.0,OpenJobMetis Varese (Italy),1985 DOB *,UTH to  DAL,2,DAL
2002,2,29,Steve Logan,G,5-10,195.0,22.0,Cincinnati,Sr,GOS to  DAL,0,DAL
2000,1,13,Courtney Alexander,SG,6-5,205.0,23.0,Fresno State,Sr,ORL to  DAL,5,DAL
2000,1,22,Donnell Harvey,F,6-8,220.0,19.0,Florida,Fr *,NYK to  DAL,5,DAL
2000,2,38,Eduardo Najera,F,6-8,235.0,23.0,Oklahoma,Sr,HOU to  DAL,12,DAL
1999,1,29,Leon Smith,PF,6-10,235.0,18.0,King College Prep High School (Illinois),1980 DOB *,SAN to  DAL,5,DAL
1998,1,9,Dirk Nowitzki,PF,7-0,245.0,20.0,DJK Wurzburg (Germany),1978 DOB *,MIL to  DAL,21,DAL
1997,1,18,Chris Anstey,C,7-0,253.0,22.0,South East Melbourne (Australia),1975 DOB,POR to  DAL,3,DAL
1992,2,41,Popeye Jones,PF,6-8,250.0,22.0,Murray State,Sr,HOU to  DAL,11,DAL
1980,2,45,Brad Branson,FC,6-10,220.0,21.0,Southern Methodist,Sr,DET to  DAL,2,DAL
