Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1970,8,132,Rick Mount,G,6-4,180.0,23.0,Purdue,Sr,,1
1970,9,149,Bobby Sands,,,,,Pepperdine,Sr,,0
1970,10,166,Kindell Stephens,,,,,Fisk,Sr,,0
1970,11,181,Bob Duklet,,,,,Boston College,Sr,,0
1970,12,192,Dewey Varner,,,,,Tuskegee,Sr,,0
1970,13,202,Garry Elliott,,,,,Washington,Sr,,0
1970,14,212,Ron Sanford,F,6-9,215.0,23.0,New Mexico,Jr,,0
1970,15,221,Will Teague,C,6-10,,,Youngstown State,Sr,,0
1970,16,228,Pete Walthour,,,,,Fort Valley State,Sr,,0
1970,17,232,Bob Thate,,,,,Occidental,Sr,,0
1969,1,12,Willie McCarter,SG,6-3,175.0,22.0,Drake,Sr,,3
1969,1,15,Rick Roberson,FC,6-9,231.0,21.0,Cincinnati,Sr,,7
1969,2,27,Dick Garrett,G,6-3,185.0,22.0,Southern Illinois,Sr,,5
1969,5,69,Wil Jones,PF,6-8,205.0,22.0,Albany State (GA),Sr,,2
1969,6,83,Dick Grubar,G,6-4,184.0,21.0,North Carolina,Sr,,0
1969,7,97,Kari Liimbo,,,,,Brigham Young,Sr,,0
1969,8,111,Joe Smith,,,,,Oklahoma State,Sr,,0
1969,9,125,Jim Smith,,,,,Northern Illinois,Sr,,0
1969,10,139,Phil Argento,G,6-2,183.0,,Kentucky,Sr,,0
1969,11,153,Ron Peret,,,,,Texas A&M,Sr,,0
1969,12,166,Jack Gillespie,,,,21.0,Montana State,Sr,,0
1969,13,178,Mallory Chestnutt,,,,,Tuskegee,Sr,,0
1969,14,187,Mack Calvin,PG,6-0,165.0,21.0,USC,Sr,,4
1968,1,11,Bill Hewitt,SF,6-7,210.0,23.0,USC,Sr,,6
1968,4,45,Eddie Biedenbach,G,6-1,175.0,22.0,NC State,Jr,,1
1968,5,59,Lou Shephard,,,,,Missouri State,Sr,,0
1967,11,116,Nick Pino,C,7-0,235.0,,Kansas State,Jr,,0
1968,7,87,Dennis Hrcka,,,,,Hillsdale (MI),Sr,,0
1968,8,101,John Smith,C,7-0,235.0,23.0,CSU Pueblo,Sr,,0
1968,9,115,George Stone,F,6-7,190.0,22.0,Marshall,Sr,,0
1968,10,129,Charles Alford,,,,,East Carolina,Sr,,0
1968,11,142,Harry Singletary,,,,,Eckerd College,Sr,,0
1968,12,155,Reggie Lacefield,F,6-5,230.0,22.0,Western Michigan,Sr,,0
1968,13,167,Harvey Mumford,,,,,Montana State,Sr,,0
1968,14,178,John Godfrey,,,,,Abilene Christian,Sr,,0
1968,15,187,Johnny Baum,F,6-5,200.0,21.0,Temple,Jr,,2
1968,16,195,Mike Eberle,,,,,Wyoming,Sr,,0
1967,2,16,Randy Mahaffey,F,6-7,210.0,21.0,Clemson,Sr,,0
1967,3,23,Dwight Smith,G,6-4,200.0,,Western Kentucky,Sr,,0
1967,4,35,Cliff Anderson,G,6-2,200.0,22.0,Saint Joseph's,Sr,,3
1967,5,47,Joe Allen,,,,,Bradley,Jr,,0
1967,6,59,Gary Keller,FC,6-9,220.0,22.0,Florida,Sr,,0
1967,7,71,Jamie Thompson,F,,,,Wichita State,Sr,,0
1967,8,83,Don Carlos,,,,22.0,Otterbein,Sr,,0
1967,9,94,Jay McMillon,,,,,Maryland,Sr,,0
1967,10,105,Don Kruze,,,,,Houston,Sr,,0
1967,12,127,Ben Monroe,,,,,New Mexico,Sr,,0
1967,13,137,Gary Jones,,,,,Iowa,Sr,,0
1966,1,7,Jerry Chambers,SF,6-5,185.0,22.0,Utah,Sr,,4
1964,4,30,Hank Finkel,C,7-0,240.0,22.0,Dayton,So,,10
1966,3,27,John Block,FC,6-9,207.0,22.0,USC,Sr,,10
1966,4,37,Archie Clark,G,6-2,175.0,24.0,Minnesota,Sr,,10
1966,5,48,Stan Washington,GF,6-3,,,Michigan State,Sr,,0
1966,6,57,Keith Thomas,,,,,Vanderbilt,Sr,,0
1966,7,66,Tab Jackson,,,,,Idaho,Sr,,0
1966,8,75,John Wetzel,GF,6-5,190.0,21.0,Virginia Tech,Sr,,7
1966,9,82,Julian Hammond,FC,6-5,205.0,22.0,Tulsa,Sr,,0
1966,10,89,Mike Rooney,G,6-2,175.0,,Oklahoma,Sr,,0
1966,11,96,George Grams,C,7-0,,21.0,Purdue,Sr,,0
1965,2,16,John Fairchild,FC,6-8,205.0,22.0,Brigham Young,Sr,,1
1965,3,25,Jim Caldwell,C,6-10,240.0,22.0,Georgia Tech,Sr,,1
1965,4,34,Brooks Henderson,G,6-2,,,Florida,Sr,,0
1965,5,43,A.W. Davis,,,,,Tennessee,Sr,,0
1965,6,52,Theo Cruz,,,,,Seattle,Sr,,0
1965,7,60,Dwayne Cruze,,,,,Idaho State,Sr,,0
1965,8,68,George Unseld,,,,,Kansas,Sr,,0
1965,9,74,Mal Pradd,G,6-3,170.0,20.0,Dillard,So,,0
1965,10,80,Don Rae,,,,,Montana State,Sr,,0
1965,11,86,Bob Andrews,,,,,Alabama,Sr,,0
1964,2,12,Cotton Nash,F,6-5,220.0,21.0,Kentucky,Sr,,1
1964,3,21,Tom Dose,F,6-8,225.0,,Stanford,Sr,,0
1964,5,39,John Savage,,,,,North Texas,Sr,,0
1964,6,48,Troy Collier,,,,,Utah State,Sr,,0
1964,7,57,Steve Anstett,,,,,Portland,Sr,,0
1964,8,66,Jay Buckley,C,6-10,225.0,,Duke,Sr,,0
1963,1,7,Roger Strickland,F,6-5,200.0,22.0,Jacksonville,Jr,,1
1963,2,13,Jim King,G,6-2,175.0,22.0,Tulsa,Sr,,10
1963,2,16,Mel Gibson,G,6-3,180.0,22.0,Western Carolina,Sr,,1
1963,3,25,Lyle Harger,F,6-7,220.0,,Houston,Sr,,0
1963,4,34,Layton Johns,F,6-7,220.0,21.0,Auburn,Sr,,0
1963,5,43,Larry Jones,SG,6-2,180.0,20.0,Toledo,Jr,,2
1963,6,52,Warren Salade,,,,,Westminster (PA),Sr,,0
1963,7,61,Gordie Martin,,,,,USC,Sr,,0
1962,1,6,Leroy Ellis,FC,6-10,210.0,22.0,St. John's,Sr,,14
1962,2,15,Gene Wiley,FC,6-10,210.0,24.0,Wichita State,Sr,,4
1962,3,24,John Green,G,6-3,195.0,21.0,UCLA,Sr,,0
1962,4,33,Jan Loudermilk,F,6-6,225.0,,Southern Methodist,Sr,,0
1962,5,42,Art Whisnant,G,6-4,,,South Carolina,Sr,,0
1962,6,51,Bucky Keller,,,,,Virginia Tech,Sr,,0
1962,8,68,Bill Garner,FC,6-10,220.0,21.0,Portland,Sr,,0
1962,9,77,Bill Matson,,,,,Minnesota,Sr,,0
1961,1,5,Wayne Yates,C,6-8,235.0,23.0,Memphis,Sr,,1
1961,2,13,Fred Sawyer,C,6-11,210.0,,Louisville,Sr,,0
1961,3,27,Frank Burgess,G,6-1,188.0,26.0,Gonzaga,Sr,,0
1961,4,36,Charles Henke,F,6-7,205.0,,Missouri,Sr,,0
1961,5,45,Bill Lickert,GF,6-3,185.0,,Kentucky,Sr,,0
1961,6,54,Bill McClintock,F,6-4,215.0,,California,Sr,,0
1961,7,63,Albert Alamanza,,,,,Texas,Sr,,0
1961,8,72,Bill Ellis,,,,,UCLA,Sr,,0
1961,9,80,Carl Anderson,,,,,Oregon State,Sr,,0
1961,10,87,Robert Williams,,,,,Allan Hancock,Sr,,0
1961,11,95,Howard Hunt,,,,,Duke,Sr,,0
1960,1,2,Jerry West,SG,6-2,185.0,21.0,West Virginia,Sr,,14
1960,3,18,Jim Hagan,C,6-10,215.0,24.0,Tennessee Tech,Sr,,0
1960,4,26,Wally Frank,F,6-8,212.0,,Kansas State,Sr,,0
1960,4,27,Ben Warley,F,6-5,200.0,23.0,Tennessee State,Jr,,5
1960,5,34,George Farley,C,6-7,,,Cornell,Sr,,0
1960,6,42,Bobby Goodall,,,,,Tulsa,Sr,,0
1960,7,50,Howie Jolliff,FC,6-7,218.0,21.0,Ohio,Sr,,3
1960,8,57,John Werhas,G,6-2,200.0,22.0,USC,Sr,,0
1960,9,64,Claude Lefevre,C,7-0,,,Gonzaga,Sr,,0
1960,10,71,Dick Harvey,,,,,Creighton,Sr,,0
1960,11,76,Sterling Forbes,,,,,Pepperdine,Sr,,0
1960,12,81,Will Jones,,,,,American University,Sr,,0
1959,1,3,Tom Hawkins,F,6-5,210.0,22.0,Notre Dame,Sr,,10
1959,2,10,Rudy LaRusso,FC,6-7,220.0,21.0,Dartmouth,Sr,,10
1959,3,18,Bobby Smith,G,6-4,190.0,21.0,West Virginia,Sr,,2
1959,4,26,Wilson Eison,F,6-5,185.0,,Purdue,Sr,,0
1959,5,34,Bobby Joe Mason,,,,,Bradley,Jr,,0
1959,6,41,Jim Henry,,,,,Vanderbilt,Sr,,0
1959,7,49,Charley Grote,,,,,Georgetown College (KY),Sr,,0
1959,8,56,Leon Hill,,,,,Texas Tech,Sr,,0
1959,9,62,Jim Mudd,,,,,North Texas,Jr,,0
1959,10,68,Roger Johnson,PG,,,,Minnesota,Sr,,0
1959,11,74,Jack Evans,,,,,Lake Superior State,Sr,,0
1959,12,78,Vern Baggenstoss,,,,,St. Cloud State,Sr,,0
1959,13,80,Dwayne Smith,,,,,Gustavus Adolphus,Sr,,0
1956,14,90,Elgin Baylor,F,6-5,225.0,21.0,Seattle,Trans,,14
1958,2,8,Steve Hamilton,F,6-6,190.0,22.0,Morehead State,Jr,,2
1958,3,16,Boo Ellis,F,6-5,195.0,22.0,Niagara,Sr,,2
1958,4,24,George Kline,G,6-4,200.0,,Minnesota,Sr,,0
1958,5,32,Quitman Sullins,,,,,Murray State,Sr,,0
1958,6,40,Al Inniss,,,,,St. Francis (NY),Sr,,0
1958,7,48,Jim Bond,,,,,Point Loma,Sr,,0
1958,8,56,Ed Brinkley,C,6-6,,,Clemson,Sr,,0
1958,9,62,Joe Hobbs,,,,,Florida,Sr,,0
1958,10,68,Shorty Patterson,,,,,Gustavus Adolphus,Sr,,0
1958,11,73,Hal Duffy,,,,,Oregon,Sr,,0
1958,12,77,Gary Simmons,,,,,Idaho,Sr,,0
1958,13,81,Jerry Alcom,,,,,Fresno State,Sr,,0
1957,1,3,Jim Krebs,C,6-8,230.0,21.0,Southern Methodist,Sr,,7
