Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1985,2,43,Barry Stevens,GF,6-5,195.0,22.0,Iowa State,Sr,,3,DEN
1985,4,89,Pete Williams,F,6-7,190.0,20.0,Arizona,Sr,,2,DEN
1985,5,112,Kenny Brown,,,,,Texas A&M,Sr  *,,0,DEN
1985,6,135,Joe Carrabino,F,,,,Harvard,Sr,,0,DEN
1985,7,158,Eddie Smith,,,,,Arizona,Sr,,1,DEN
1984,2,42,Willie White,G,6-3,195.0,21.0,Chattanooga,Sr,,3,DEN
1984,4,79,Karl Tilleman,SG,6-2,180.0,23.0,Calgary,Sr,,1,DEN
1984,5,103,Prince Bridges,,,,,Missouri,Sr,,1,DEN
1984,6,125,Willie Burton,,,,,Tennessee,Sr,,0,DEN
1984,7,149,Mark Simpson,,,,,Catawba,Sr,,0,DEN
1984,8,171,Bill Wendlandt,,,,,Texas,Sr,,0,DEN
1984,9,194,Cecil Exum,F,6-6,,21.0,North Carolina,Sr,,0,DEN
1984,10,215,Dexter Bailey,,,,,Xavier,Sr,,0,DEN
2024,1,22,DaRon Holmes II,PF,6-9,225.0,21.0,Dayton,Jr *,PHX to  DEN,1,DEN
2023,1,29,Julian Strawther,GF,6-6,205.0,21.0,Gonzaga,Jr *,IND to  DEN,2,DEN
2023,2,32,Jalen Pickett,F,6-2,202.0,23.0,Penn State,Sr,IND to  DEN,2,DEN
2023,2,37,Hunter Tyson,SF,6-8,215.0,23.0,Clemson,Sr,OKC to  DEN,2,DEN
2022,1,30,Peyton Watson,GF,6-8,200.0,19.0,UCLA,Fr *,OKC to  DEN,3,DEN
2020,1,24,R.J. Hampton,G,6-4,175.0,19.0,New Zealand (New Zealand),2001 DOB,MIL to  DEN,4,DEN
2019,2,44,Bol Bol,C,7-3,220.0,19.0,Oregon,Fr *,MIA to  DEN,6,DEN
2018,2,41,Jarred Vanderbilt,PF,6-8,214.0,19.0,Kentucky,Fr *,ORL to  DEN,7,DEN
2017,1,24,Tyler Lydon,PF,6-10,225.0,21.0,Syracuse,So *,UTH to  DEN,2,DEN
2014,1,16,Jusuf Nurkic,FC,6-11,290.0,19.0,Cedevita (Croatia),1994 DOB *,CHI to  DEN,11,DEN
2014,1,19,Gary Harris,SG,6-4,210.0,19.0,Michigan State,So *,CHI to  DEN,11,DEN
2013,2,46,Erick Green,G,6-3,178.0,22.0,Virginia Tech,Sr,UTH to  DEN,2,DEN
2013,2,55,Joffrey Lauvergne,PF,6-11,260.0,21.0,KK Partizan (Serbia),1991 DOB,MEM to  DEN,4,DEN
2011,1,26,Jordan Hamilton,SF,6-7,220.0,20.0,Texas,So *,DAL to  DEN,5,DEN
2009,1,18,Ty Lawson,PG,5-11,195.0,21.0,North Carolina,Jr *,MIN to  DEN,9,DEN
2008,2,39,Sonny Weems,SF,6-6,205.0,21.0,Arkansas,Sr,CHI to  DEN,4,DEN
2005,1,27,Linas Kleiza,F,6-8,234.0,20.0,Missouri,So *,POR to  DEN,7,DEN
2003,2,57,Yuyang Xue,FC,7-0,265.0,20.0,Bay Area Dragons (Hong Kong),1982 DOB *,DAL to  DEN,0,DEN
2002,1,7,Nene Hilario,C,6-11,250.0,19.0,Vasco da Gama (Brazil),1982 DOB *,NYK to  DEN,18,DEN
2001,2,31,Omar Cook,PG,6-2,190.0,19.0,St. John's,Fr *,ORL to  DEN,4,DEN
2001,2,53,Kenny Satterfield,PG,6-2,186.0,20.0,Cincinnati,So *,DAL to  DEN,3,DEN
1998,1,13,Keon Clark,C,6-11,221.0,23.0,UNLV,Sr,ORL to  DEN,6,DEN
1998,2,47,Tyson Wheeler,G,5-10,165.0,22.0,Rhode Island,Sr,TOR to  DEN,2,DEN
1997,1,10,Danny Fortson,F,6-7,260.0,21.0,Cincinnati,Jr *,MIL to  DEN,10,DEN
1997,1,23,Bobby Jackson,G,6-1,185.0,24.0,Minnesota,Sr,SEA to  DEN,12,DEN
1997,2,46,Eric Washington,G,6-4,190.0,23.0,Alabama,Sr,ORL to  DEN,4,DEN
1995,1,2,Antonio McDyess,F,6-9,245.0,20.0,Alabama,So *,LAC to  DEN,16,DEN
1993,2,34,Darnell Mee,G,6-5,175.0,22.0,Western Kentucky,Sr,GOS to  DEN,3,DEN
1991,1,18,Kevin Brooks,PF,6-8,210.0,21.0,Louisiana,Sr,MIL to  DEN,3,DEN
1990,1,16,Terry Mills,PF,6-10,230.0,22.0,Michigan,Sr,MIL to  DEN,11,DEN
1989,1,24,Anthony Cook,FC,6-9,205.0,22.0,Arizona,Sr,POR to  DET DET  to DEN,5,DEN
1980,1,11,Kiki Vandeweghe,SF,6-8,220.0,21.0,UCLA,Sr,DAL to  DEN,13,DEN
1979,3,49,Cedrick Hordges,PF,6-8,220.0,22.0,South Carolina,Sr,CHI to  DEN,2,DEN
1978,4,70,Geff Crompton,C,6-11,280.0,22.0,North Carolina,Sr,KCK to  DEN,5,DEN
1969,12,167,Fatty Taylor,PG,6-0,175.0,23.0,La Salle,Sr,PHL to  DEN,1,DEN
