Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1950,1,7,Irwin Dambrot,GF,6-4,175.0,21.0,City College of New York,Sr,,0
1950,3,31,Stan Weber,,,,,Bowling Green,Sr,,0
1950,4,43,Joe Ossola,,,,,Saint Louis,Sr,,0
1950,5,55,Dick Barnes,,,,,San Diego State,Sr,,0
1950,6,67,Don Parsons,F,6-4,190.0,,Rutgers,Sr,,0
1950,7,79,Dan Bagley,,,,,Notre Dame,Jr,,0
1950,8,91,Charles Hope,,,,,Appalachian State,Sr,,0
1950,9,103,Don Heathington,FC,,,,Baylor,Sr,,0
1949,1,8,Dick McGuire,G,6-0,180.0,23.0,St. John's,Sr,,11
1949,2,20,Harry Donovan,G,6-2,180.0,22.0,Muhlenberg College,Sr,,1
1949,3,32,Ernie Vandeweghe,G,6-3,195.0,20.0,Colgate,Sr,,6
1949,4,42,Bill Kleine,,,,,Missouri Valley,Sr,,0
1949,5,51,Don Bagley,,,,,Notre Dame,Sr,,0
1949,6,58,Bob Prewitt,,,,,Southern Methodist,Sr,,0
1949,7,64,Ken Kearns,,,,,Arkansas,Sr,,0
1949,8,70,Bill Litchfield,,,,,Emporia State,Sr,,0
1948,1,4,Dolph Schayes,FC,6-7,195.0,19.0,NYU,Sr,,15
1948,2,16,Harry Gallatin,FC,6-6,210.0,21.0,Truman State,Fr,,10
1948,3,28,Mel McGaha,G,6-1,190.0,21.0,Arkansas,Sr,,1
1948,4,40,Ed Peterson,FC,6-9,220.0,23.0,Cornell,Jr,NYK to SYR,2
1948,5,52,Dick Shrider,G,6-2,190.0,25.0,Grant Tech,So,,1
1948,6,64,Gene Berce,G,5-11,175.0,21.0,Marquette,Jr,,1
1948,7,75,Tex Ritter,G,6-2,185.0,24.0,Eastern Kentucky,Sr,,3
1948,8,85,Leland Byrd,,,,,West Virginia,Sr,,0
1948,9,95,Keith Grimes,,,,,East Central,Sr,,0
1948,10,104,John Stanisch,G,5-10,170.0,23.0,UCLA,Sr,,0
1947,1,5,Dick Holub,FC,6-6,205.0,25.0,Long Island,Sr,,1
1947,2,15,Ray Evans,G,6-1,175.0,24.0,Kansas,Sr,,0
1947,3,25,Ed Golub,,,,,,,,0
1947,4,35,Garland Head,,,,,Texas Tech,Sr,,0
1947,5,45,Ron Livingstone,C,6-10,220.0,21.0,Wyoming,Jr,,2
1947,6,53,Andy Duncan,GF,6-6,195.0,25.0,William & Mary,Sr,NYK to ROR,3
1947,7,61,Wat Misaka,G,5-7,150.0,23.0,Utah,Sr,,1
1947,8,67,Dan Miller,,,,,Saint Louis,Sr,,0
1947,9,72,Carl Reichert,,,,,Findlay,Sr,,0
1947,10,76,Tom Tomlinson,,,,,Southern Methodist,Sr,,0
