Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1973,3,49,Allie McGuire,G,6-3,175.0,21.0,Marquette,Sr,,1
1973,4,66,George Karl,G,6-2,185.0,21.0,North Carolina,Sr,,2
1973,5,83,Dennis Bell,SF,6-5,185.0,21.0,Drake,Sr,,3
1973,6,100,Larry Lilly,,,,,Alabama State,Sr,,0
1973,7,117,Mike Moore,,,,,Manhattan,Sr,,0
1973,8,134,Steve Rowell,,,,,Rhode Island,Sr,,0
1973,9,149,Joe Wise,,,,,Bridgewater State,Sr,,0
1973,10,163,Ed Fields,,,,,LIU Post,Sr,,0
1973,11,173,Charlie Edge,SF,6-6,210.0,23.0,LeMoyne-Owen College,Jr,,1
1972,1,8,Tom Riker,C,6-10,225.0,22.0,South Carolina,Sr,,3
1972,3,41,Ansley Truitt,PF,6-9,215.0,21.0,California,Sr,,0
1972,4,58,Henry Bibby,G,6-1,185.0,22.0,UCLA,Sr,,9
1972,5,74,Bob Ford,FC,6-7,228.0,22.0,Purdue,Sr,,0
1972,6,91,Greg Cleuss,,,,,St. John's,Sr,,1
1972,7,108,Tracy Tripucka,,,,,Lafayette,Sr,,1
1972,8,124,Tom Corde,G,,,,Ohio,Sr,,0
1972,9,139,Tom Sullivan,C,,,21.0,Fordham,Sr,,0
1972,10,152,Richie Garner,SG,,,,Manhattan,Sr,,0
1972,11,163,Chic Downing,,,,,Benedictine University,Sr,,0
1971,1,16,Dean Meminger,PG,6-0,175.0,22.0,Marquette,Sr,,6
1971,2,34,Gregg Northington,C,7-1,238.0,21.0,Alabama State,Jr,,0
1971,3,50,Ken Mayfield,SG,6-2,185.0,22.0,Tuskegee,Sr,,0
1971,4,67,Steve Niles,C,7-0,240.0,,Texas A&M,Sr,,1
1971,6,101,Bill Mainor,G,,,,Fordham,Sr,,0
1971,7,118,Danny Davis,,,,,Henderson State,Sr,,1
1971,8,135,Leroy Eldridge,,,,,Cheyney (PA),Sr,,0
1971,9,151,Mike O'Brien,,,,,Saint Leo,Sr,,0
