Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2009,2,40,Derrick Brown,F,6-7,225,21.0,Xavier,Jr *,,3
2009,2,54,Robert Vaden,SG,6-5,220,24.0,UAB,Sr,CHA to OKC,1
2008,1,9,D.J. Augustin,G,6-0,183,20.0,Texas,So *,,15
2008,1,20,Alexis Ajinca,C,7-2,248,20.0,Hyeres-Toulon (France),1988 DOB *,,8
2008,2,38,Kyle Weaver,SG,6-6,200,22.0,Washington State,Sr,CHA to OKC,3
2007,1,8,Brandan Wright,F,6-10,210,19.0,North Carolina,Fr *,CHA to GOS,11
2007,1,22,Jared Dudley,PF,6-7,237,21.0,Boston College,Sr,,14
2006,1,3,Adam Morrison,SF,6-8,198,21.0,Gonzaga,Jr *,,4
2006,2,50,Ryan Hollins,C,7-0,230,21.0,UCLA,Sr,,10
2005,1,5,Raymond Felton,PG,6-1,205,21.0,North Carolina,Jr *,,14
2005,1,13,Sean May,PF,6-9,266,21.0,North Carolina,Jr *,,5
2004,1,2,Emeka Okafor,FC,6-10,255,21.0,UConn,Jr *,,11
2004,2,45,Bernard Robinson,GF,6-6,210,23.0,Michigan,Sr,,3
2001,1,16,Kirk Haston,PF,6-9,242,22.0,Indiana,Jr *,,4
2000,1,19,Jamaal Magloire,C,6-11,259,22.0,Kentucky,Sr,,12
1999,1,3,Baron Davis,G,6-3,215,20.0,UCLA,So *,,13
1999,2,43,Lee Nailon,F,6-9,238,24.0,TCU,Sr,,6
1998,1,21,Ricky Davis,GF,6-7,195,18.0,Iowa,Fr *,,12
1998,2,50,Andrew Betts,C,7-1,275,21.0,Long Beach State,Sr,NOP to IND,0
1996,1,13,Kobe Bryant,SG,6-6,212,17.0,Lower Merion High School (Pennsylvania),1978 DOB *,CHA to LAL,20
1996,1,16,Tony Delk,G,6-1,189,22.0,Kentucky,Sr,,10
1996,2,44,Malik Rose,F,6-7,250,21.0,Drexel,Sr,,13
1995,1,22,George Zidek,C,7-0,266,21.0,UCLA,Sr,,3
1994,2,38,Darrin Hancock,F,6-7,205,22.0,Maurienne (France),1971 DOB,,6
1993,1,17,Greg Graham,G,6-4,183,22.0,Indiana,Sr,CHA to PHL,5
1993,1,20,Scott Burrell,G-F,6-7,218,22.0,UConn,Sr,,8
1992,1,2,Alonzo Mourning,C,6-10,240,22.0,Georgetown,Sr,,16
1992,2,35,Tony Bennett,PG,6-0,175,23.0,Green Bay,Sr,,4
1991,1,1,Larry Johnson,F,6-6,250,22.0,UNLV,Sr,,10
1991,2,28,Kevin Lynch,G,6-5,185,22.0,Minnesota,Sr,,2
1990,1,5,Kendall Gill,SG,6-5,195,22.0,Illinois,Sr,,15
1990,2,39,Steve Scheffler,F,6-9,250,22.0,Purdue,Sr,,9
1989,1,5,J.R. Reid,PF,6-9,247,21.0,North Carolina,Jr *,,11
1989,2,29,Dyron Nix,F,6-7,210,22.0,Tennessee,Sr,CHA to IND,1
1988,1,8,Rex Chapman,SG,6-4,185,20.0,Kentucky,So *,,13
1988,2,34,Tom Tolbert,F,6-7,235,22.0,Arizona,Sr,,7
1988,3,58,Jeff Moore,F,6-7,205,,Auburn,Sr,,1
