Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1979,10,194,Greg Hunter,,,,,Loyola Marymount,Sr,,0
1978,2,41,Jerome Whitehead,C,6-10,220.0,21.0,Marquette,Sr,,11
1978,3,48,Mike Santos,PF,6-8,225.0,21.0,Utah State,Sr,,0
1978,3,51,Ricky Gallon,C,7-0,220.0,,Louisville,Sr,,0
1978,3,65,Marvin Dalph,SG,6-4,180.0,,Arkansas,Sr,,0
1978,4,68,Jim Boylan,PG,6-2,175.0,23.0,Marquette,Sr,,1
1978,4,73,Larry Harris,F,6-6,205.0,,Pittsburgh,Sr,,1
1978,4,76,Leroy McDonald,SG,6-5,195.0,22.0,Wake Forest,Sr,,1
1978,5,90,David Thompson,F,6-8,195.0,,Florida State,Sr,,1
1978,6,112,Bob Miscevicious,,,,,Providence,Sr,,0
1978,7,133,Stan Pietkiewicz,SG,6-5,200.0,21.0,Auburn,Sr,,3
1978,8,154,Felton Young,,,,,Jacksonville,Sr,,0
1978,9,172,Bobby White,,,,,Centenary (LA),Sr,,0
1977,2,24,Larry Johnson,SG,6-3,205.0,22.0,Kentucky,Sr,,1
1977,4,68,Melvin Watkins,PG,6-4,204.0,22.0,Charlotte,Sr,,1
1977,5,90,Mike Hanley,,,,,Niagara,Sr,,0
1977,6,112,Curvan Lewis,,,,,Virginia Union,Sr,,1
1977,7,133,Mike Jackson,,,,,Tennessee,Sr,,1
1977,8,153,Emery Sammons,,,,,Jefferson,Sr,,0
1976,1,6,Adrian Dantley,SF,6-5,208.0,20.0,Notre Dame,Jr *,,15
1976,3,48,Gary Brewster,PF,6-8,,,UTEP,Sr,,1
1976,6,100,Danny Odums,PG,,,,Fairfield,Sr,,0
1976,7,118,Frank Jones,G,,,,Tennessee Tech,Sr,,0
1976,8,136,Mark McAndrew,GF,6-5,,,Providence,Sr,,0
1976,9,153,Bob Rozyczko,,,,,St. Bonaventure,Sr,,0
1976,10,169,Tim Stokes,,,,,Canisius,Sr,,0
1975,3,52,George Bucci,GF,6-3,180.0,21.0,Manhattan,Sr,,1
1975,4,70,Bob Fleischer,PF,6-8,215.0,,Duke,Sr,,0
1975,5,88,Sam Berry,,,,,Armstrong Atlantic,Sr,,0
1975,6,106,Larry Jackson,,,,,Charlotte,Sr,,0
1975,7,124,Mike Franklin,,,,,Cincinnati,Sr,,1
1975,8,142,Allen Jones,,,,,Roanoke,Jr,,1
1975,9,158,George Rautins,G,6-4,,,Niagara,Sr,,0
1975,10,172,Art Allen,,,,,Pepperdine,Sr,,0
1974,1,9,Tom McMillen,PF,6-11,215.0,22.0,Maryland,Sr,,11
1974,3,45,Kim Hughes,C,6-11,220.0,21.0,Wisconsin,Sr,,5
1974,4,63,Bernie Harris,PF,6-10,200.0,23.0,VCU,Sr,,1
1974,5,81,Tony Byers,,,,,Wake Forest,Sr,,0
