Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1987,5,113,Jose Antonio Montero,G,6-3,200,22,,1965 DOB,,0,ATL
1987,6,136,Riccardo Morandou,F,6-6,220,21,,1965 DOB,,0,ATL
1987,7,159,Franjo Arapovic,C,6-11,265,22,KK Cibona (Croatia),1965 DOB,,0,ATL
2025,1,23,Asa Newell,PF,6-10,220,19,Georgia,Fr *,NOP to  ATL,0,ATL
2024,2,43,Nikola Djurisic,F,6-8,214,20,KK Mega Bemax (Serbia),2004 DOB *,MIA to  ATL,0,ATL
2023,2,39,Mouhamed Gueye,F,6-11,210,20,Washington State,So *,CHA to  BOS BOS  to ATL,2,ATL
2022,2,51,Tyrese Martin,GF,6-6,215,23,UConn,Sr *,GOS to  ATL,2,ATL
2019,1,4,De'Andre Hunter,PF,6-7,221,21,Virginia,So *,LAL to  NOP NOP  to ATL,6,ATL
2019,2,34,Bruno Fernando,C,6-9,240,20,Maryland,So *,PHL to  ATL,6,ATL
2018,1,5,Trae Young,PG,6-2,164,19,Oklahoma,Fr *,DAL to  ATL,7,ATL
2016,1,12,Taurean Prince,F,6-6,218,22,Baylor,Sr,UTH to  ATL,9,ATL
2015,1,19,Jerian Grant,SG,6-4,198,22,Notre Dame,Sr,WAS to  ATL ATL  to NYK,4,ATL
2014,2,48,Lamar Patterson,F,6-5,225,22,Pittsburgh,Sr,MIL to  ATL,2,ATL
2013,2,44,Mike Muscala,FC,6-10,240,21,Bucknell,Sr,DAL to  ATL,11,ATL
2010,1,27,Jordan Crawford,G,6-5,195,21,Xavier,So *,NJN to  ATL,6,ATL
2002,1,28,Dan Dickau,G,6-0,190,23,Gonzaga,Sr,SAC to  ATL,6,ATL
2002,2,56,Raed Farid Elhamali,F,6-9,225,22,San Diego State,Sr,SAN to  PHL PHL  to ATL,3,ATL
1998,2,34,Shammond Williams,G,6-1,201,23,North Carolina,Sr,CHI to  ATL,7,ATL
1983,1,8,Antoine Carr,PF,6-9,225,21,Wichita State,Sr,DET to  ATL,16,ATL
1983,1,22,Randy Wittman,GF,6-6,210,23,Indiana,Sr,WAS to  ATL,9,ATL
1982,1,3,Dominique Wilkins,SF,6-7,200,22,Georgia,Jr *,UTH to  ATL,16,ATL
1982,3,51,Jim Johnstone,C,6-11,245,21,Wake Forest,Sr,KCK to  ATL,1,ATL
1961,3,32,Bill Bridges,FC,6-6,228,21,Kansas,Sr,CHI to  STH,13,ATL
1953,3,22,Cliff Hagan,GF,6-4,210,21,Kentucky,Sr,BOS to  STH,10,ATL
1951,1,5,John McConathy,F,6-5,195,21,Northwestern State,Sr,SYR to  MIL,1,ATL
1951,1,9,Don Sunderlage,SG,6-1,180,21,Illinois,Sr,PHI to  MIL,2,ATL
1951,4,38,Elmer Behnke,F,6-7,210,22,Bradley,Sr,ROR to  MIL,1,ATL
1950,2,19,Herb Scherer,F,6-9,212,21,Long Island,Sr,BOS to  TCB,2,ATL
1949,1,10,Jack Kerris,F,6-6,215,24,Loyola (IL),Sr,CHI to  TCB,4,ATL
1949,2,21,Red Owens,GF,6-3,185,23,Baylor,Sr,WAS to  TCB,2,ATL
1949,3,26,Mac Otten,F,6-7,220,23,Bowling Green,Sr,IND to  TCB,1,ATL
1949,3,34,Dike Eddleman,SF,6-3,189,26,Illinois,Sr,CHI to  TCB,4,ATL
1949,4,36,Warren Perkins,G,6-3,190,25,Tulane,Sr,PRO to  TCB,2,ATL
1948,1,11,Don Ray,GF,6-5,190,26,Western Kentucky,Sr,PHI to  TCB,1,ATL
1948,5,56,Murray Wier,G,5-9,155,21,Iowa,Jr,FWP to  TCB,1,ATL
1948,5,57,Dee Gibson,G,5-11,175,24,Western Kentucky,Sr,MIN to  TCB,1,ATL
